,scatter material,spectra,nlegs,reff,shell,amp ratio,s02,e0,degen,sigma2,deltar,fpath
0,Cu,spectra,2,2.5562,shell,100.0,0.918,e0,n_Cu,sigma2_Cu,deltar_Cu,data/feffs/Cu1_K_c7_Copper_cif11145\feff0001.dat
0,CuO,spectra,2,1.9472,shell,100.0,0.918,e0,n_CuO,sigma2_CuO,deltar_CuO,data/feffs/Cu1_K_c7_Tenorite_cif11639\feff0001.dat
