Data,Energy,0
0,8866.371181979897,0.010305759929973096
1,8866.781270150947,0.018566264318435645
2,8867.19140370636,0.01136910810095181
3,8867.601582646137,0.0028798874404396633
4,8868.011806970277,0.01136044365060656
5,8868.422076678782,0.002177457196395718
6,8868.83239177165,0.002547910783725561
7,8869.24275224888,-0.0020116086854427397
8,8869.653158110475,0.006239069834932339
9,8870.063609356434,0.011083177564596876
10,8870.474105986756,0.011796233185070056
11,8870.884648001442,0.013429818123433652
12,8871.295235400492,0.0026339368331873268
13,8871.705868183904,0.01180751674831695
14,8872.116546351683,0.005658923573906197
15,8872.527269903821,0.006449260766501352
16,8872.938038840326,0.002414251016158743
17,8873.348853161195,0.008403449098713548
18,8873.759712866426,0.009493308513005706
19,8874.17061795602,0.012839437048299825
20,8874.58156842998,0.005469708424655346
21,8874.9925642883,0.008754476300493278
22,8875.403605530988,0.0045213372043473605
23,8875.814692158037,0.0025489153694735066
24,8876.22582416945,0.009728425397577891
25,8876.637001565226,0.0017631881058356837
26,8877.048224345368,0.0024208819451329603
27,8877.459492509872,0.004690534667569729
28,8877.87080605874,0.0028488817958827873
29,8878.282164991972,0.004418574672836635
30,8878.693569309566,0.00685298136445606
31,8879.105019011526,0.0047435215830840954
32,8879.516514097848,0.0042575194667569035
33,8879.928054568534,0.007673575876511406
34,8880.339640423583,0.009765096514585264
35,8880.751271662995,0.006124504531082972
36,8881.162948286774,0.009954873731848174
37,8881.574670294915,-0.0052849053166087725
38,8881.986437687417,-0.004365759875364765
39,8882.398250464286,-0.0017326410224367203
40,8882.810108625517,-0.000243915943920857
41,8883.222012171113,0.0019009786485414608
42,8883.633961101072,0.0034488186371185612
43,8884.045955415393,-0.0009406185214829034
44,8884.457995114079,0.002935203941211069
45,8884.870080197128,-0.005884258826757961
46,8885.282210664542,0.000911093852409502
47,8885.69438651632,-0.0033464430943032503
48,8886.10660775246,0.0031406359478047853
49,8886.518874372963,-0.001237223127960224
50,8886.931186377831,0.0008557193490228873
51,8887.343543767063,0.0026512757360384574
52,8887.75594654066,0.008277378079213488
53,8888.168394698618,0.003629561096695391
54,8888.58088824094,-0.0033920732855082583
55,8888.993427167627,-0.007505328065760873
56,8889.406011478675,-0.012521643251365074
57,8889.818641174088,-0.01175910522775753
58,8890.231316253865,-0.002376037567796205
59,8890.644036718006,0.012174737377528371
60,8891.05680256651,0.0021843423423577864
61,8891.469613799378,-0.0026478582933465783
62,8891.882470416609,-0.0012138863202390262
63,8892.295372418204,-0.0032752533069445667
