 Structure from AMSCIFDB, AMS_ID: 1523590       Feff8L (EXAFS)       0.1
 Mineral Name: <missing>
 Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
 Authors: Esch, U., Schneider, A.
 Title1:   Das System Nickel-Platin
 Formula:    Ni0.5Pt0.5
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
 Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
 Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
 Gam_ch=5.171E+00 H-L exch
 Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   35      icalc       2
 -----------------------------------------------------------------------
   3  10.000   6.1655    2.7455   -4.55377 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -5.6250   -0.0000   -1.8750  1  28 Ni
    -1.8750   -0.0000   -1.8750  2  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.900  1.1286E+01  1.3748E-01 -2.1439E+01  1.040E+00  6.5646E+00  2.2561E+00
  1.000  1.1274E+01  1.4663E-01 -2.2193E+01  1.044E+00  6.6405E+00  2.2964E+00
  1.100  1.1260E+01  1.5419E-01 -2.2907E+01  1.049E+00  6.7135E+00  2.3403E+00
  1.200  1.1244E+01  1.6014E-01 -2.3583E+01  1.053E+00  6.7814E+00  2.3877E+00
  1.300  1.1226E+01  1.6448E-01 -2.4223E+01  1.057E+00  6.8420E+00  2.4386E+00
  1.400  1.1205E+01  1.6720E-01 -2.4827E+01  1.060E+00  6.8937E+00  2.4928E+00
  1.500  1.1182E+01  1.6833E-01 -2.5397E+01  1.064E+00  6.9355E+00  2.5503E+00
  1.600  1.1156E+01  1.6789E-01 -2.5933E+01  1.067E+00  6.9671E+00  2.6109E+00
  1.700  1.1129E+01  1.6593E-01 -2.6436E+01  1.070E+00  6.9886E+00  2.6748E+00
  1.800  1.1098E+01  1.6251E-01 -2.6905E+01  1.074E+00  7.0015E+00  2.7419E+00
  1.900  1.1065E+01  1.5772E-01 -2.7341E+01  1.076E+00  7.0081E+00  2.8122E+00
  2.000  1.1030E+01  1.5167E-01 -2.7741E+01  1.079E+00  7.0115E+00  2.8857E+00
  2.200  1.0949E+01  1.3568E-01 -2.8425E+01  1.084E+00  7.0279E+00  3.0430E+00
  2.400  1.0841E+01  1.1179E-01 -2.8912E+01  1.087E+00  7.1071E+00  3.2230E+00
  2.600  1.0738E+01  1.0865E-01 -2.9376E+01  1.185E+00  5.3377E+00  3.4079E+00
  2.800  1.0727E+01  1.0355E-01 -3.0298E+01  1.226E+00  4.6905E+00  3.5445E+00
  3.000  1.0721E+01  9.9077E-02 -3.1165E+01  1.243E+00  4.4062E+00  3.6792E+00
  3.200  1.0697E+01  9.5598E-02 -3.1816E+01  1.251E+00  4.2814E+00  3.8238E+00
  3.400  1.0668E+01  9.5239E-02 -3.2289E+01  1.248E+00  4.2467E+00  3.9740E+00
  3.600  1.0631E+01  1.0026E-01 -3.2623E+01  1.241E+00  4.2686E+00  4.1294E+00
  3.800  1.0590E+01  1.1424E-01 -3.2902E+01  1.230E+00  4.3296E+00  4.2895E+00
