 Structure from AMSCIFDB, AMS_ID: 1523590       Feff8L (EXAFS)       0.1
 Mineral Name: <missing>
 Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
 Authors: Esch, U., Schneider, A.
 Title1:   Das System Nickel-Platin
 Formula:    Ni0.5Pt0.5
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
 Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
 Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
 Gam_ch=5.171E+00 H-L exch
 Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   30      icalc       2
 -----------------------------------------------------------------------
   4   5.000   5.3033    2.7455   -4.55377 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000    1.8750    1.8750  2  78 Pt
    -0.0000   -0.0000   -0.0000  0  78 Pt
    -0.0000    1.8750    1.8750  2  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  1.800  1.1098E+01  1.4917E-01 -2.3205E+01  1.074E+00  7.0015E+00  2.7419E+00
  1.900  1.1065E+01  1.3438E-01 -2.3492E+01  1.076E+00  7.0081E+00  2.8122E+00
  2.000  1.1030E+01  1.1990E-01 -2.3724E+01  1.079E+00  7.0115E+00  2.8857E+00
  2.200  1.0949E+01  9.3677E-02 -2.4008E+01  1.084E+00  7.0279E+00  3.0430E+00
  2.400  1.0841E+01  7.1956E-02 -2.3988E+01  1.087E+00  7.1071E+00  3.2230E+00
  2.600  1.0738E+01  7.5850E-02 -2.3831E+01  1.185E+00  5.3377E+00  3.4079E+00
  2.800  1.0727E+01  7.5970E-02 -2.3702E+01  1.226E+00  4.6905E+00  3.5445E+00
  3.000  1.0721E+01  8.3421E-02 -2.3487E+01  1.243E+00  4.4062E+00  3.6792E+00
  3.200  1.0697E+01  1.0046E-01 -2.3338E+01  1.251E+00  4.2814E+00  3.8238E+00
  3.400  1.0668E+01  1.1675E-01 -2.3309E+01  1.248E+00  4.2467E+00  3.9740E+00
  3.600  1.0631E+01  1.1824E-01 -2.3398E+01  1.241E+00  4.2686E+00  4.1294E+00
  3.800  1.0590E+01  1.0867E-01 -2.3555E+01  1.230E+00  4.3296E+00  4.2895E+00
  4.000  1.0542E+01  8.6091E-02 -2.3764E+01  1.218E+00  4.4193E+00  4.4536E+00
  4.200  1.0488E+01  6.2998E-02 -2.4021E+01  1.205E+00  4.5315E+00  4.6215E+00
  4.400  1.0429E+01  4.1261E-02 -2.4332E+01  1.192E+00  4.6616E+00  4.7926E+00
  4.600  1.0365E+01  2.4626E-02 -2.4723E+01  1.178E+00  4.8068E+00  4.9666E+00
  4.800  1.0296E+01  1.3410E-02 -2.5271E+01  1.164E+00  4.9646E+00  5.1431E+00
  5.000  1.0224E+01  7.6521E-03 -2.6125E+01  1.151E+00  5.1335E+00  5.3220E+00
  5.200  1.0149E+01  6.1271E-03 -2.7197E+01  1.138E+00  5.3120E+00  5.5028E+00
  5.400  1.0072E+01  6.7800E-03 -2.8086E+01  1.126E+00  5.4993E+00  5.6854E+00
  5.600  9.9942E+00  8.1267E-03 -2.8825E+01  1.114E+00  5.6943E+00  5.8695E+00
  5.800  9.9156E+00  1.0352E-02 -2.9469E+01  1.102E+00  5.8965E+00  6.0551E+00
  6.000  9.8365E+00  1.3832E-02 -2.9983E+01  1.091E+00  6.1052E+00  6.2419E+00
  6.500  9.6389E+00  2.6548E-02 -3.0796E+01  1.064E+00  6.6526E+00  6.7135E+00
  7.000  9.4404E+00  3.7426E-02 -3.1169E+01  1.038E+00  7.2322E+00  7.1903E+00
  7.500  9.2394E+00  4.0007E-02 -3.1311E+01  1.016E+00  7.8397E+00  7.6712E+00
