# Structure from AMSCIFDB, AMS_ID: 1523590     Feff8L (EXAFS)       0.1      
# Mineral Name: <missing>
# Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
# Authors: Esch, U., Schneider, A.
# Title1:   Das System Nickel-Platin
# Formula:    Ni0.5Pt0.5
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
# Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
# Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
# Gam_ch=5.171E+00 H-L exch
# Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.6517
#           2       0.00000     68.27      5.00     2   2.6517
#           3       0.00000     24.34      4.00     2   3.7500
#           4       0.00000     14.16      2.00     2   3.7500
#           5       0.00000      4.39     14.00     3   3.9775
#           6       0.00000      9.21     28.00     3   3.9775
#           8       0.00000     37.95     11.00     2   4.5928
#           9       0.00000     55.09     13.00     2   4.5928
#          11       0.00000      7.81     28.00     3   4.9480
#          12       0.00000      4.87     24.00     3   4.9480
#          13       0.00000      6.42     32.00     3   4.9480
#          14       0.00000     10.82     20.00     3   4.9480
#          15       0.00000     14.06     20.00     3   4.9480
#          16       0.00000     13.33      6.00     2   5.3033
#          17       0.00000     16.97      6.00     2   5.3033
#          19       0.00000      5.02      6.00     3   5.3033
#          21       0.00000     31.86     10.00     3   5.3033
#          22       0.00000     14.45      4.00     3   5.3033
#          23       0.00000     10.67      2.00     3   5.3033
#          24       0.00000     49.15      8.00     3   5.3033
#          25       0.00000      8.91      4.00     4   5.3033
#          26       0.00000     10.46      6.00     4   5.3033
#          27       0.00000      4.76      2.00     4   5.3033
#          30       0.00000     26.65      5.00     4   5.3033
#          31       0.00000     11.29      2.00     4   5.3033
#          33       0.00000     13.32      1.00     4   5.3033
#          34       0.00000     54.25      4.00     4   5.3033
#          35       0.00000     17.05     11.00     2   5.9293
#          36       0.00000     26.39     13.00     2   5.9293
#          40       0.00000      4.21     10.00     3   6.1655
#          42       0.00000      5.81     12.00     3   6.1655
#          45       0.00000      7.65      5.00     2   6.4952
#    32/  41 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     3.0500   -3.555613E-02  3.811439E-02  1.062710E+01
     3.1000   -4.080124E-02  4.088148E-02  1.093291E+01
     3.1500   -4.264051E-02  4.372597E-02  1.121886E+01
     3.2000   -4.097742E-02  4.645962E-02  1.148628E+01
     3.2500   -3.519398E-02  4.868554E-02  1.175840E+01
     3.3000   -2.628490E-02  5.061611E-02  1.202034E+01
     3.3500   -1.517038E-02  5.216334E-02  1.227128E+01
     3.4000   -2.977801E-03  5.327631E-02  1.251045E+01
     3.4500    1.019572E-02  5.385256E-02  1.275685E+01
     3.5000    2.250258E-02  5.396022E-02  1.299654E+01
     3.5500    3.286366E-02  5.357082E-02  1.322681E+01
     3.6000    4.060348E-02  5.275656E-02  1.344465E+01
     3.6500    4.603820E-02  5.163914E-02  1.366710E+01
     3.7000    4.858546E-02  5.025484E-02  1.387870E+01
     3.7500    4.861174E-02  4.869894E-02  1.407731E+01
     3.8000    4.675167E-02  4.711191E-02  1.426091E+01
     3.8500    4.317429E-02  4.527210E-02  1.444278E+01
     3.9000    3.891496E-02  4.370495E-02  1.460974E+01
     3.9500    3.453294E-02  4.259466E-02  1.476256E+01
     4.0000    3.031502E-02  4.211395E-02  1.490440E+01
     4.0500    2.582832E-02  4.211111E-02  1.504768E+01
     4.1000    2.117129E-02  4.284875E-02  1.519117E+01
     4.1500    1.589494E-02  4.428712E-02  1.534087E+01
     4.2000    9.509484E-03  4.630893E-02  1.550114E+01
     4.2500    1.451060E-03  4.838080E-02  1.567797E+01
     4.3000   -8.020608E-03  5.067977E-02  1.586689E+01
     4.3500   -1.862754E-02  5.303717E-02  1.606683E+01
     4.4000   -2.974920E-02  5.530485E-02  1.627592E+01
     4.4500   -4.038578E-02  5.711919E-02  1.649327E+01
     4.5000   -4.959907E-02  5.865900E-02  1.671556E+01
     4.5500   -5.648833E-02  5.987631E-02  1.694075E+01
     4.6000   -6.037791E-02  6.075707E-02  1.716698E+01
     4.6500   -6.078609E-02  6.117700E-02  1.739187E+01
     4.7000   -5.789869E-02  6.133683E-02  1.761517E+01
     4.7500   -5.203705E-02  6.130658E-02  1.783584E+01
     4.8000   -4.372461E-02  6.117363E-02  1.805327E+01
     4.8500   -3.356378E-02  6.099767E-02  1.826690E+01
     4.9000   -2.208937E-02  6.090339E-02  1.847840E+01
     4.9500   -9.762012E-03  6.095512E-02  1.868871E+01
     5.0000    3.032537E-03  6.119098E-02  1.889913E+01
     5.0500    1.587811E-02  6.156579E-02  1.911041E+01
     5.1000    2.840917E-02  6.206189E-02  1.932502E+01
     5.1500    4.006547E-02  6.261697E-02  1.954386E+01
     5.2000    5.015752E-02  6.314938E-02  1.976736E+01
     5.2500    5.784377E-02  6.347857E-02  1.999582E+01
     5.3000    6.237899E-02  6.355128E-02  2.022798E+01
     5.3500    6.323970E-02  6.329700E-02  2.046290E+01
     5.4000    6.023930E-02  6.266195E-02  2.069933E+01
     5.4500    5.353662E-02  6.148460E-02  2.093446E+01
     5.5000    4.395595E-02  5.988509E-02  2.116695E+01
     5.5500    3.253703E-02  5.790540E-02  2.139447E+01
     5.6000    2.047022E-02  5.563281E-02  2.161434E+01
     5.6500    9.108708E-03  5.331837E-02  2.181947E+01
     5.7000   -1.070587E-03  5.099921E-02  2.201214E+01
     5.7500   -9.602702E-03  4.892065E-02  2.218872E+01
     5.8000   -1.659482E-02  4.745203E-02  2.234842E+01
     5.8500   -2.284955E-02  4.708479E-02  2.249784E+01
     5.9000   -2.912601E-02  4.784822E-02  2.264559E+01
     5.9500   -3.606096E-02  4.976573E-02  2.280162E+01
     6.0000   -4.384952E-02  5.269871E-02  2.297400E+01
     6.0500   -5.231897E-02  5.661777E-02  2.316975E+01
     6.1000   -6.006437E-02  6.099194E-02  2.338732E+01
     6.1500   -6.537780E-02  6.550655E-02  2.362465E+01
     6.2000   -6.639502E-02  6.987551E-02  2.387890E+01
     6.2500   -6.155772E-02  7.384847E-02  2.414721E+01
     6.3000   -5.007570E-02  7.721095E-02  2.442705E+01
     6.3500   -3.227110E-02  7.978267E-02  2.471632E+01
     6.4000   -9.703591E-03  8.141599E-02  2.501327E+01
     6.4500    1.498057E-02  8.199517E-02  2.531647E+01
     6.5000    3.846947E-02  8.143611E-02  2.562474E+01
     6.5500    5.770392E-02  7.968922E-02  2.594249E+01
     6.6000    6.939713E-02  7.672350E-02  2.626297E+01
     6.6500    7.204648E-02  7.255327E-02  2.658527E+01
     6.7000    6.581731E-02  6.722305E-02  2.690840E+01
     6.7500    5.253869E-02  6.080711E-02  2.723113E+01
     6.8000    3.532251E-02  5.340876E-02  2.755170E+01
     6.8500    1.788129E-02  4.516004E-02  2.786723E+01
     6.9000    3.697571E-03  3.622352E-02  2.817208E+01
     6.9500   -4.759398E-03  2.680379E-02  2.845284E+01
     7.0000   -6.579546E-03  1.720899E-02  2.866665E+01
     7.0500   -2.552681E-03  8.393454E-03  2.858336E+01
     7.1000    4.940361E-03  7.183788E-03  2.751600E+01
     7.1500    1.260960E-02  1.522031E-02  2.729796E+01
     7.2000    1.715033E-02  2.423987E-02  2.748834E+01
     7.2500    1.609031E-02  3.291681E-02  2.776360E+01
     7.3000    8.412125E-03  4.091746E-02  2.806727E+01
     7.3500   -5.200185E-03  4.805415E-02  2.838276E+01
     7.4000   -2.254098E-02  5.419497E-02  2.870329E+01
     7.4500   -4.042982E-02  5.924751E-02  2.902536E+01
     7.5000   -5.547360E-02  6.315591E-02  2.934675E+01
     7.5500   -6.485531E-02  6.586807E-02  2.966954E+01
     7.6000   -6.673413E-02  6.742348E-02  2.998825E+01
     7.6500   -6.093782E-02  6.788383E-02  3.030146E+01
     7.7000   -4.869996E-02  6.734899E-02  3.060765E+01
     7.7500   -3.224200E-02  6.595663E-02  3.090517E+01
     7.8000   -1.417269E-02  6.388130E-02  3.119221E+01
     7.8500    3.121854E-03  6.133232E-02  3.146685E+01
     7.9000    1.793889E-02  5.854956E-02  3.172732E+01
     7.9500    2.946911E-02  5.579439E-02  3.197237E+01
     8.0000    3.773400E-02  5.333247E-02  3.220191E+01
     8.0500    4.339080E-02  5.143242E-02  3.241997E+01
     8.1000    4.706728E-02  5.025795E-02  3.262848E+01
     8.1500    4.930254E-02  4.988596E-02  3.283363E+01
     8.2000    5.019543E-02  5.027252E-02  3.304211E+01
     8.2500    4.937349E-02  5.126727E-02  3.325937E+01
     8.3000    4.615899E-02  5.265310E-02  3.348864E+01
     8.3500    3.986777E-02  5.419147E-02  3.373084E+01
     8.4000    3.014022E-02  5.565706E-02  3.398526E+01
     8.4500    1.719875E-02  5.685741E-02  3.425022E+01
     8.5000    1.950969E-03  5.764036E-02  3.452367E+01
     8.5500   -1.424094E-02  5.796598E-02  3.480574E+01
     8.6000   -2.938223E-02  5.767714E-02  3.509204E+01
     8.6500   -4.159523E-02  5.673491E-02  3.538046E+01
     8.7000   -4.941616E-02  5.513319E-02  3.566888E+01
     8.7500   -5.210450E-02  5.289686E-02  3.595501E+01
     8.8000   -4.979024E-02  5.008146E-02  3.623621E+01
     8.8500   -4.342196E-02  4.677484E-02  3.650925E+01
     8.9000   -3.452817E-02  4.310159E-02  3.677000E+01
     8.9500   -2.485063E-02  3.923150E-02  3.701313E+01
     9.0000   -1.593984E-02  3.539234E-02  3.723193E+01
     9.0500   -8.823066E-03  3.193924E-02  3.741923E+01
     9.1000   -3.781176E-03  2.920605E-02  3.756928E+01
     9.1500   -3.562051E-04  2.760744E-02  3.768621E+01
     9.2000    2.455727E-03  2.743600E-02  3.778874E+01
     9.2500    5.846873E-03  2.869577E-02  3.790430E+01
     9.3000    1.078305E-02  3.109289E-02  3.805327E+01
     9.3500    1.764616E-02  3.419646E-02  3.824131E+01
     9.4000    2.603662E-02  3.759458E-02  3.846415E+01
     9.4500    3.479701E-02  4.095671E-02  3.871435E+01
     9.5000    4.225888E-02  4.403553E-02  3.898488E+01
     9.5500    4.682229E-02  4.682231E-02  3.927083E+01
     9.6000    4.686655E-02  4.902068E-02  3.956746E+01
     9.6500    4.167107E-02  5.053884E-02  3.987132E+01
     9.7000    3.150902E-02  5.132325E-02  4.017967E+01
     9.7500    1.763250E-02  5.135473E-02  4.049023E+01
     9.8000    2.011734E-03  5.064558E-02  4.080097E+01
     9.8500   -1.310000E-02  4.923714E-02  4.111001E+01
     9.9000   -2.565595E-02  4.719708E-02  4.141542E+01
     9.9500   -3.422938E-02  4.461637E-02  4.171516E+01
    10.0000   -3.824772E-02  4.160575E-02  4.200698E+01
    10.0500   -3.812108E-02  3.841241E-02  4.228826E+01
    10.1000   -3.464401E-02  3.501038E-02  4.255630E+01
    10.1500   -2.910111E-02  3.153995E-02  4.280734E+01
    10.2000   -2.281940E-02  2.814848E-02  4.303699E+01
    10.2500   -1.688472E-02  2.498747E-02  4.324035E+01
    10.3000   -1.197861E-02  2.220997E-02  4.341265E+01
    10.3500   -8.350867E-03  1.996667E-02  4.355079E+01
    10.4000   -5.896859E-03  1.839701E-02  4.365600E+01
    10.4500   -4.281699E-03  1.761137E-02  4.373671E+01
    10.5000   -3.053477E-03  1.766862E-02  4.380861E+01
    10.5500   -1.713190E-03  1.856611E-02  4.388989E+01
    10.6000    2.545053E-04  2.025389E-02  4.399486E+01
    10.6500    3.355323E-03  2.265968E-02  4.413092E+01
    10.7000    8.021034E-03  2.570385E-02  4.429965E+01
    10.7500    1.448227E-02  2.930005E-02  4.449930E+01
    10.8000    2.259327E-02  3.334995E-02  4.472660E+01
    10.8500    3.166678E-02  3.773932E-02  4.497791E+01
    10.9000    4.040369E-02  4.233751E-02  4.524969E+01
    10.9500    4.699527E-02  4.700012E-02  4.553873E+01
    11.0000    4.943223E-02  5.157359E-02  4.584227E+01
    11.0500    4.617749E-02  5.610856E-02  4.615721E+01
    11.1000    3.605633E-02  6.025916E-02  4.648244E+01
