 Structure from AMSCIFDB, AMS_ID: 1523590       Feff8L (EXAFS)       0.1
 Mineral Name: <missing>
 Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
 Authors: Esch, U., Schneider, A.
 Title1:   Das System Nickel-Platin
 Formula:    Ni0.5Pt0.5
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
 Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
 Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
 Gam_ch=5.171E+00 H-L exch
 Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   38      icalc       2
 -----------------------------------------------------------------------
   3  12.000   6.1655    2.7455   -4.55377 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     5.6250   -1.8750   -0.0000  2  78 Pt
     3.7500   -0.0000   -0.0000  2  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1324E+01  5.2037E-05 -1.2939E+01  1.010E+00  6.1221E+00  2.0772E+00
  0.100  1.1324E+01  3.3050E-02 -1.4144E+01  1.011E+00  6.1288E+00  2.0795E+00
  0.200  1.1323E+01  6.5613E-02 -1.5290E+01  1.012E+00  6.1488E+00  2.0863E+00
  0.300  1.1321E+01  9.7223E-02 -1.6378E+01  1.015E+00  6.1815E+00  2.0977E+00
  0.400  1.1319E+01  1.2745E-01 -1.7411E+01  1.018E+00  6.2259E+00  2.1136E+00
  0.500  1.1315E+01  1.5593E-01 -1.8390E+01  1.022E+00  6.2806E+00  2.1338E+00
  0.600  1.1310E+01  1.8236E-01 -1.9317E+01  1.026E+00  6.3439E+00  2.1583E+00
  0.700  1.1304E+01  2.0650E-01 -2.0196E+01  1.031E+00  6.4139E+00  2.1869E+00
  0.800  1.1296E+01  2.2825E-01 -2.1028E+01  1.035E+00  6.4882E+00  2.2196E+00
  0.900  1.1286E+01  2.4754E-01 -2.1817E+01  1.040E+00  6.5646E+00  2.2561E+00
  1.000  1.1274E+01  2.6437E-01 -2.2563E+01  1.044E+00  6.6405E+00  2.2964E+00
  1.100  1.1260E+01  2.7878E-01 -2.3270E+01  1.049E+00  6.7135E+00  2.3403E+00
  1.200  1.1244E+01  2.9085E-01 -2.3938E+01  1.053E+00  6.7814E+00  2.3877E+00
  1.300  1.1226E+01  3.0068E-01 -2.4569E+01  1.057E+00  6.8420E+00  2.4386E+00
  1.400  1.1205E+01  3.0834E-01 -2.5164E+01  1.060E+00  6.8937E+00  2.4928E+00
  1.500  1.1182E+01  3.1393E-01 -2.5725E+01  1.064E+00  6.9355E+00  2.5503E+00
  1.600  1.1156E+01  3.1752E-01 -2.6250E+01  1.067E+00  6.9671E+00  2.6109E+00
  1.700  1.1129E+01  3.1919E-01 -2.6741E+01  1.070E+00  6.9886E+00  2.6748E+00
  1.800  1.1098E+01  3.1901E-01 -2.7197E+01  1.074E+00  7.0015E+00  2.7419E+00
  1.900  1.1065E+01  3.1705E-01 -2.7617E+01  1.076E+00  7.0081E+00  2.8122E+00
  2.000  1.1030E+01  3.1339E-01 -2.8002E+01  1.079E+00  7.0115E+00  2.8857E+00
  2.200  1.0949E+01  3.0126E-01 -2.8654E+01  1.084E+00  7.0279E+00  3.0430E+00
  2.400  1.0841E+01  2.8083E-01 -2.9048E+01  1.087E+00  7.1071E+00  3.2230E+00
  2.600  1.0738E+01  2.8404E-01 -2.9415E+01  1.185E+00  5.3377E+00  3.4079E+00
  2.800  1.0727E+01  2.9249E-01 -3.0219E+01  1.226E+00  4.6905E+00  3.5445E+00
