 Structure from AMSCIFDB, AMS_ID: 1523590       Feff8L (EXAFS)       0.1
 Mineral Name: <missing>
 Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
 Authors: Esch, U., Schneider, A.
 Title1:   Das System Nickel-Platin
 Formula:    Ni0.5Pt0.5
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
 Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
 Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
 Gam_ch=5.171E+00 H-L exch
 Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   7.000   2.6517    2.7455   -4.55377 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -1.8750   -1.8750   -0.0000  1  28 Ni
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  5.800  9.9156E+00  6.8191E-01 -2.4394E+01  1.102E+00  5.8965E+00  6.0551E+00
  6.000  9.8365E+00  6.9536E-01 -2.4489E+01  1.091E+00  6.1052E+00  6.2419E+00
  6.500  9.6389E+00  7.1105E-01 -2.4706E+01  1.064E+00  6.6526E+00  6.7135E+00
  7.000  9.4404E+00  7.0358E-01 -2.4899E+01  1.038E+00  7.2322E+00  7.1903E+00
  7.500  9.2394E+00  6.8096E-01 -2.5073E+01  1.016E+00  7.8397E+00  7.6712E+00
  8.000  9.0365E+00  6.4663E-01 -2.5232E+01  9.962E-01  8.4721E+00  8.1552E+00
  8.500  8.8360E+00  6.0422E-01 -2.5378E+01  9.810E-01  9.1270E+00  8.6416E+00
  9.000  8.6398E+00  5.5737E-01 -2.5519E+01  9.687E-01  9.8024E+00  9.1301E+00
  9.500  8.4485E+00  5.1142E-01 -2.5658E+01  9.589E-01  1.0497E+01  9.6201E+00
 10.000  8.2622E+00  4.6870E-01 -2.5797E+01  9.510E-01  1.1209E+01  1.0111E+01
 11.000  7.9042E+00  3.9022E-01 -2.6067E+01  9.399E-01  1.2682E+01  1.1097E+01
 12.000  7.5674E+00  3.2550E-01 -2.6328E+01  9.333E-01  1.4215E+01  1.2086E+01
 13.000  7.2503E+00  2.7397E-01 -2.6580E+01  9.291E-01  1.5801E+01  1.3077E+01
 14.000  6.9516E+00  2.3196E-01 -2.6826E+01  9.269E-01  1.7436E+01  1.4070E+01
 15.000  6.6704E+00  1.9895E-01 -2.7064E+01  9.258E-01  1.9116E+01  1.5063E+01
 16.000  6.4055E+00  1.7010E-01 -2.7298E+01  9.251E-01  2.0838E+01  1.6058E+01
 17.000  6.1551E+00  1.4589E-01 -2.7509E+01  9.237E-01  2.2599E+01  1.7054E+01
 18.000  5.9173E+00  1.2619E-01 -2.7703E+01  9.222E-01  2.4396E+01  1.8050E+01
 19.000  5.6894E+00  1.1070E-01 -2.7875E+01  9.214E-01  2.6228E+01  1.9047E+01
 20.000  5.4723E+00  9.8990E-02 -2.8031E+01  9.213E-01  2.8091E+01  2.0044E+01
