# Structure from AMSCIFDB, AMS_ID: 1523590     Feff8L (EXAFS)       0.1      
# Mineral Name: <missing>
# Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
# Authors: Esch, U., Schneider, A.
# Title1:   Das System Nickel-Platin
# Formula:    Ni0.5Pt0.5
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
# Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
# Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
# Gam_ch=5.171E+00 H-L exch
# Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.6517
#           2       0.00000     68.27      5.00     2   2.6517
#           3       0.00000     24.34      4.00     2   3.7500
#           4       0.00000     14.16      2.00     2   3.7500
#           5       0.00000      4.39     14.00     3   3.9775
#           6       0.00000      9.21     28.00     3   3.9775
#           8       0.00000     37.95     11.00     2   4.5928
#           9       0.00000     55.09     13.00     2   4.5928
#          11       0.00000      7.81     28.00     3   4.9480
#          12       0.00000      4.87     24.00     3   4.9480
#          13       0.00000      6.42     32.00     3   4.9480
#          14       0.00000     10.82     20.00     3   4.9480
#          15       0.00000     14.06     20.00     3   4.9480
#          16       0.00000     13.33      6.00     2   5.3033
#          17       0.00000     16.97      6.00     2   5.3033
#          19       0.00000      5.02      6.00     3   5.3033
#          21       0.00000     31.86     10.00     3   5.3033
#          22       0.00000     14.45      4.00     3   5.3033
#          23       0.00000     10.67      2.00     3   5.3033
#          24       0.00000     49.15      8.00     3   5.3033
#          25       0.00000      8.91      4.00     4   5.3033
#          26       0.00000     10.46      6.00     4   5.3033
#          27       0.00000      4.76      2.00     4   5.3033
#          30       0.00000     26.65      5.00     4   5.3033
#          31       0.00000     11.29      2.00     4   5.3033
#          33       0.00000     13.32      1.00     4   5.3033
#          34       0.00000     54.25      4.00     4   5.3033
#          35       0.00000     17.05     11.00     2   5.9293
#          36       0.00000     26.39     13.00     2   5.9293
#          40       0.00000      4.21     10.00     3   6.1655
#          42       0.00000      5.81     12.00     3   6.1655
#          45       0.00000      7.65      5.00     2   6.4952
#    32/  41 paths used
#  xsedge+50, used to normalize mu           3.9077E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11860.467    290.491   8.800  8.38213E-01  8.82295E-01 -4.97902E-02
   11863.829    293.854   8.850  8.43327E-01  8.81751E-01 -4.34220E-02
   11867.210    297.235   8.900  8.50669E-01  8.81208E-01 -3.45282E-02
   11870.611    300.635   8.950  8.58697E-01  8.80665E-01 -2.48506E-02
   11874.030    304.055   9.000  8.66037E-01  8.80121E-01 -1.59398E-02
   11877.469    307.493   9.050  8.71672E-01  8.79463E-01 -8.82307E-03
   11880.926    310.951   9.100  8.75468E-01  8.78804E-01 -3.78118E-03
   11884.403    314.427   9.150  8.77832E-01  8.78146E-01 -3.56205E-04
   11887.899    317.923   9.200  8.79651E-01  8.77487E-01  2.45573E-03
   11891.413    321.438   9.250  8.81978E-01  8.76829E-01  5.84687E-03
   11894.947    324.972   9.300  8.85661E-01  8.76170E-01  1.07830E-02
   11898.500    328.524   9.350  8.91033E-01  8.75512E-01  1.76462E-02
   11902.072    332.096   9.400  8.97739E-01  8.74853E-01  2.60366E-02
   11905.663    335.687   9.450  9.04762E-01  8.74195E-01  3.47970E-02
   11909.273    339.297   9.500  9.10634E-01  8.73536E-01  4.22589E-02
   11912.902    342.926   9.550  9.13887E-01  8.72815E-01  4.68223E-02
   11916.550    346.574   9.600  9.13172E-01  8.72093E-01  4.68666E-02
   11920.217    350.241   9.650  9.07869E-01  8.71372E-01  4.16711E-02
   11923.903    353.927   9.700  8.98226E-01  8.70651E-01  3.15090E-02
   11927.608    357.633   9.750  8.85348E-01  8.69929E-01  1.76325E-02
   11931.332    361.357   9.800  8.70966E-01  8.69208E-01  2.01173E-03
   11935.076    365.100   9.850  8.57049E-01  8.68487E-01 -1.31000E-02
   11938.838    368.863   9.900  8.45383E-01  8.67765E-01 -2.56559E-02
   11942.619    372.644   9.950  8.37205E-01  8.67044E-01 -3.42294E-02
   11946.420    376.444  10.000  8.33007E-01  8.66323E-01 -3.82477E-02
   11950.239    380.264  10.050  8.32353E-01  8.65529E-01 -3.81211E-02
   11954.078    384.103  10.100  8.34612E-01  8.64736E-01 -3.46440E-02
   11957.936    387.960  10.150  8.38661E-01  8.63942E-01 -2.91011E-02
   11961.812    391.837  10.200  8.43342E-01  8.63148E-01 -2.28194E-02
   11965.708    395.732  10.250  8.47712E-01  8.62355E-01 -1.68847E-02
   11969.623    399.647  10.300  8.51183E-01  8.61561E-01 -1.19786E-02
   11973.557    403.581  10.350  8.53539E-01  8.60768E-01 -8.35087E-03
   11977.509    407.534  10.400  8.54874E-01  8.59974E-01 -5.89686E-03
   11981.481    411.506  10.450  8.55481E-01  8.59180E-01 -4.28170E-03
   11985.472    415.497  10.500  8.55751E-01  8.58387E-01 -3.05348E-03
   11989.482    419.507  10.550  8.56115E-01  8.57593E-01 -1.71319E-03
   11993.511    423.536  10.600  8.57019E-01  8.56800E-01  2.54505E-04
   11997.559    427.584  10.650  8.58895E-01  8.56006E-01  3.35532E-03
   12001.627    431.651  10.700  8.62112E-01  8.55212E-01  8.02103E-03
   12005.713    435.737  10.750  8.66866E-01  8.54419E-01  1.44823E-02
   12009.818    439.843  10.800  8.73026E-01  8.53625E-01  2.25933E-02
   12013.942    443.967  10.850  8.79999E-01  8.52832E-01  3.16668E-02
   12018.086    448.110  10.900  8.86670E-01  8.52038E-01  4.04037E-02
   12022.248    452.273  10.950  8.91490E-01  8.51244E-01  4.69953E-02
   12026.430    456.454  11.000  8.92745E-01  8.50451E-01  4.94322E-02
   12030.630    460.655  11.050  8.89082E-01  8.49613E-01  4.61775E-02
   12034.850    464.874  11.100  8.79561E-01  8.48775E-01  3.60563E-02
   12039.088    469.113  11.150  8.64436E-01  8.47936E-01  1.93440E-02
   12043.346    473.370  11.200  8.45216E-01  8.47098E-01 -2.20891E-03
   12047.623    477.647  11.250  8.24523E-01  8.46260E-01 -2.55368E-02
   12051.918    481.943  11.300  8.05624E-01  8.45422E-01 -4.68018E-02
   12056.233    486.258  11.350  7.91734E-01  8.44584E-01 -6.22144E-02
   12060.567    490.592  11.400  7.85251E-01  8.43746E-01 -6.89306E-02
   12064.920    494.944  11.450  7.87144E-01  8.42908E-01 -6.57800E-02
   12069.292    499.316  11.500  7.96671E-01  8.42070E-01 -5.36088E-02
   12073.683    503.707  11.550  8.11524E-01  8.41232E-01 -3.51168E-02
   12078.093    508.117  11.600  8.28382E-01  8.40394E-01 -1.42128E-02
   12082.522    512.547  11.650  8.43734E-01  8.39555E-01  4.94903E-03
   12086.970    516.995  11.700  8.54733E-01  8.38717E-01  1.89899E-02
   12091.437    521.462  11.750  8.59869E-01  8.37879E-01  2.61014E-02
   12095.924    525.948  11.800  8.59255E-01  8.37041E-01  2.63942E-02
   12100.429    530.453  11.850  8.54456E-01  8.36203E-01  2.17102E-02
   12104.953    534.978  11.900  8.47934E-01  8.35365E-01  1.49659E-02
   12109.497    539.521  11.950  8.42271E-01  8.34527E-01  9.23046E-03
   12114.059    544.084  12.000  8.39401E-01  8.33689E-01  6.81529E-03
   12118.641    548.665  12.050  8.40003E-01  8.32760E-01  8.65161E-03
   12123.241    553.266  12.100  8.43615E-01  8.31832E-01  1.40918E-02
   12127.861    557.885  12.150  8.48627E-01  8.30903E-01  2.12196E-02
   12132.499    562.524  12.200  8.52907E-01  8.29975E-01  2.74863E-02
   12137.157    567.182  12.250  8.54474E-01  8.29046E-01  3.05124E-02
   12141.834    571.858  12.300  8.52088E-01  8.28118E-01  2.87968E-02
   12146.530    576.554  12.350  8.45586E-01  8.27189E-01  2.21264E-02
   12151.245    581.269  12.400  8.35880E-01  8.26261E-01  1.15825E-02
   12155.978    586.003  12.450  8.24643E-01  8.25332E-01 -8.30177E-04
   12160.731    590.756  12.500  8.13803E-01  8.24404E-01 -1.27937E-02
   12165.503    595.528  12.550  8.04998E-01  8.23475E-01 -2.23244E-02
   12170.294    600.319  12.600  7.99184E-01  8.22546E-01 -2.82600E-02
   12175.105    605.129  12.650  7.96473E-01  8.21618E-01 -3.04506E-02
   12179.934    609.958  12.700  7.96254E-01  8.20689E-01 -2.96255E-02
   12184.782    614.806  12.750  7.97512E-01  8.19761E-01 -2.70066E-02
   12189.649    619.674  12.800  7.99233E-01  8.18832E-01 -2.38177E-02
   12194.535    624.560  12.850  8.00758E-01  8.17904E-01 -2.08597E-02
   12199.441    629.465  12.900  8.01963E-01  8.16975E-01 -1.82861E-02
   12204.365    634.390  12.950  8.03222E-01  8.16047E-01 -1.56395E-02
   12209.309    639.333  13.000  8.05190E-01  8.15118E-01 -1.21213E-02
   12214.271    644.296  13.050  8.08396E-01  8.14137E-01 -7.01779E-03
   12219.253    649.277  13.100  8.13136E-01  8.13155E-01 -2.37393E-05
   12224.253    654.278  13.150  8.19121E-01  8.12174E-01  8.51365E-03
   12229.273    659.298  13.200  8.25527E-01  8.11193E-01  1.75894E-02
   12234.312    664.336  13.250  8.31174E-01  8.10211E-01  2.57567E-02
   12239.369    669.394  13.300  8.34837E-01  8.09230E-01  3.15035E-02
   12244.446    674.471  13.350  8.35586E-01  8.08248E-01  3.36750E-02
   12249.542    679.567  13.400  8.33061E-01  8.07267E-01  3.18155E-02
   12254.657    684.682  13.450  8.27603E-01  8.06285E-01  2.63269E-02
   12259.791    689.815  13.500  8.20179E-01  8.05304E-01  1.83944E-02
   12264.944    694.968  13.550  8.12152E-01  8.04323E-01  9.69455E-03
   12270.116    700.141  13.600  8.04927E-01  8.03341E-01  1.96608E-03
   12275.307    705.332  13.650  7.99586E-01  8.02360E-01 -3.44305E-03
   12280.517    710.542  13.700  7.96610E-01  8.01378E-01 -5.92755E-03
   12285.746    715.771  13.750  7.95754E-01  8.00397E-01 -5.77870E-03
   12290.995    721.019  13.800  7.96130E-01  7.99415E-01 -4.09403E-03
   12296.262    726.287  13.850  7.96462E-01  7.98434E-01 -2.46075E-03
   12301.548    731.573  13.900  7.95459E-01  7.97453E-01 -2.49132E-03
   12306.854    736.878  13.950  7.92210E-01  7.96471E-01 -5.33092E-03
   12312.178    742.203  14.000  7.86495E-01  7.95490E-01 -1.12687E-02
   12317.522    747.546  14.050  7.78858E-01  7.94493E-01 -1.96134E-02
   12322.884    752.909  14.100  7.70736E-01  7.93496E-01 -2.85888E-02
   12328.266    758.290  14.150  7.63928E-01  7.92499E-01 -3.59370E-02
   12333.667    763.691  14.200  7.60215E-01  7.91502E-01 -3.94062E-02
   12339.086    769.111  14.250  7.60901E-01  7.90505E-01 -3.73377E-02
   12344.525    774.549  14.300  7.66435E-01  7.89509E-01 -2.91397E-02
   12349.983    780.007  14.350  7.76240E-01  7.88512E-01 -1.55186E-02
   12355.460    785.484  14.400  7.88778E-01  7.87515E-01  1.60021E-03
   12360.956    790.980  14.450  8.01858E-01  7.86518E-01  1.94528E-02
   12366.470    796.495  14.500  8.13107E-01  7.85521E-01  3.50287E-02
   12372.004    802.029  14.550  8.20488E-01  7.84524E-01  4.57288E-02
   12377.558    807.582  14.600  8.22736E-01  7.83527E-01  4.99232E-02
   12383.130    813.154  14.650  8.19606E-01  7.82530E-01  4.72721E-02
   12388.721    818.745  14.700  8.11871E-01  7.81533E-01  3.87333E-02
   12394.331    824.355  14.750  8.01083E-01  7.80537E-01  2.62690E-02
   12399.960    829.985  14.800  7.89178E-01  7.79540E-01  1.23394E-02
   12405.609    835.633  14.850  7.78018E-01  7.78543E-01 -6.72209E-04
   12411.276    841.300  14.900  7.69015E-01  7.77546E-01 -1.09515E-02
   12416.962    846.987  14.950  7.62901E-01  7.76549E-01 -1.75457E-02
   12422.668    852.692  15.000  7.59702E-01  7.75552E-01 -2.04044E-02
   12428.392    858.417  15.050  7.58897E-01  7.74505E-01 -2.01207E-02
   12434.136    864.160  15.100  7.59619E-01  7.73457E-01 -1.78647E-02
   12439.898    869.923  15.150  7.60977E-01  7.72410E-01 -1.47804E-02
   12445.680    875.705  15.200  7.62269E-01  7.71362E-01 -1.17730E-02
   12451.481    881.505  15.250  7.63078E-01  7.70315E-01 -9.38303E-03
   12457.300    887.325  15.300  7.63253E-01  7.69267E-01 -7.80901E-03
   12463.139    893.164  15.350  7.62816E-01  7.68220E-01 -7.02626E-03
   12468.997    899.022  15.400  7.61857E-01  7.67172E-01 -6.92027E-03
   12474.874    904.899  15.450  7.60477E-01  7.66125E-01 -7.36422E-03
   12480.770    910.794  15.500  7.58791E-01  7.65077E-01 -8.20865E-03
   12486.685    916.709  15.550  7.56992E-01  7.64030E-01 -9.20353E-03
   12492.619    922.643  15.600  7.55412E-01  7.62982E-01 -9.91407E-03
   12498.572    928.597  15.650  7.54535E-01  7.61935E-01 -9.70463E-03
   12504.544    934.569  15.700  7.54916E-01  7.60888E-01 -7.84201E-03
   12510.535    940.560  15.750  7.57013E-01  7.59840E-01 -3.71791E-03
   12516.546    946.570  15.800  7.60971E-01  7.58793E-01  2.86938E-03
   12522.575    952.599  15.850  7.66446E-01  7.57745E-01  1.14773E-02
   12528.623    958.648  15.900  7.72546E-01  7.56698E-01  2.09353E-02
   12534.691    964.715  15.950  7.77941E-01  7.55650E-01  2.94881E-02
   12540.777    970.802  16.000  7.81147E-01  7.54603E-01  3.51657E-02
   12546.883    976.907  16.050  7.80853E-01  7.53548E-01  3.62248E-02
   12553.007    983.032  16.100  7.76479E-01  7.52494E-01  3.18669E-02
   12559.151    989.175  16.150  7.68315E-01  7.51439E-01  2.24533E-02
   12565.313    995.338  16.200  7.57541E-01  7.50385E-01  9.53505E-03
   12571.495   1001.520  16.250  7.45982E-01  7.49331E-01 -4.46831E-03
   12577.696   1007.720  16.300  7.35661E-01  7.48276E-01 -1.68575E-02
   12583.916   1013.940  16.350  7.28280E-01  7.47222E-01 -2.53486E-02
   12590.155   1020.179  16.400  7.24774E-01  7.46167E-01 -2.86703E-02
   12596.412   1026.437  16.450  7.25086E-01  7.45113E-01 -2.68789E-02
   12602.689   1032.714  16.500  7.28216E-01  7.44059E-01 -2.12929E-02
   12608.985   1039.010  16.550  7.32557E-01  7.43004E-01 -1.40621E-02
   12615.300   1045.325  16.600  7.36384E-01  7.41950E-01 -7.50279E-03
   12621.634   1051.659  16.650  7.38373E-01  7.40895E-01 -3.40498E-03
   12627.988   1058.012  16.700  7.37973E-01  7.39841E-01 -2.52473E-03
   12634.360   1064.384  16.750  7.35525E-01  7.38787E-01 -4.41602E-03
   12640.751   1070.776  16.800  7.32093E-01  7.37732E-01 -7.64597E-03
   12647.161   1077.186  16.850  7.29082E-01  7.36678E-01 -1.03147E-02
   12653.591   1083.615  16.900  7.27751E-01  7.35623E-01 -1.07052E-02
   12660.039   1090.064  16.950  7.28804E-01  7.34569E-01 -7.85148E-03
   12666.507   1096.531  17.000  7.32162E-01  7.33514E-01 -1.84527E-03
   12672.993   1103.018  17.050  7.36972E-01  7.32409E-01  6.23215E-03
   12679.499   1109.523  17.100  7.42006E-01  7.31304E-01  1.46386E-02
   12686.023   1116.048  17.150  7.45892E-01  7.30199E-01  2.14986E-02
   12692.567   1122.591  17.200  7.47600E-01  7.29094E-01  2.53891E-02
   12699.130   1129.154  17.250  7.46713E-01  7.27989E-01  2.57273E-02
   12705.711   1135.736  17.300  7.43499E-01  7.26884E-01  2.28635E-02
   12712.312   1142.337  17.350  7.38745E-01  7.25779E-01  1.78688E-02
   12718.932   1148.956  17.400  7.33447E-01  7.24674E-01  1.21086E-02
   12725.571   1155.595  17.450  7.28460E-01  7.23569E-01  6.76024E-03
   12732.229   1162.253  17.500  7.24232E-01  7.22464E-01  2.44774E-03
   12738.906   1168.930  17.550  7.20720E-01  7.21359E-01 -8.85774E-04
   12745.602   1175.626  17.600  7.17493E-01  7.20254E-01 -3.83299E-03
   12752.317   1182.341  17.650  7.13992E-01  7.19149E-01 -7.16983E-03
   12759.051   1189.076  17.700  7.09834E-01  7.18043E-01 -1.14321E-02
   12765.804   1195.829  17.750  7.05048E-01  7.16938E-01 -1.65823E-02
   12772.576   1202.601  17.800  7.00159E-01  7.15833E-01 -2.18936E-02
   12779.368   1209.392  17.850  6.96069E-01  7.14728E-01 -2.61022E-02
   12786.178   1216.203  17.900  6.93791E-01  7.13623E-01 -2.77845E-02
   12793.007   1223.032  17.950  6.94104E-01  7.12518E-01 -2.58369E-02
   12799.856   1229.880  18.000  6.97252E-01  7.11413E-01 -1.98991E-02
   12806.723   1236.748  18.050  7.02806E-01  7.10330E-01 -1.05885E-02
   12813.610   1243.634  18.100  7.09647E-01  7.09247E-01  5.64311E-04
   12820.516   1250.540  18.150  7.16305E-01  7.08164E-01  1.14912E-02
   12827.440   1257.465  18.200  7.21287E-01  7.07081E-01  2.00820E-02
   12834.384   1264.408  18.250  7.23462E-01  7.05998E-01  2.47253E-02
   12841.347   1271.371  18.300  7.22351E-01  7.04915E-01  2.47232E-02
   12848.328   1278.353  18.350  7.18243E-01  7.03832E-01  2.04642E-02
   12855.329   1285.354  18.400  7.12107E-01  7.02749E-01  1.33092E-02
   12862.349   1292.374  18.450  7.05336E-01  7.01666E-01  5.22821E-03
   12869.388   1299.413  18.500  6.99383E-01  7.00583E-01 -1.71128E-03
   12876.446   1306.471  18.550  6.95396E-01  6.99500E-01 -5.86406E-03
   12883.523   1313.548  18.600  6.93943E-01  6.98417E-01 -6.40181E-03
   12890.619   1320.644  18.650  6.94900E-01  6.97334E-01 -3.48811E-03
   12897.734   1327.759  18.700  6.97505E-01  6.96251E-01  1.79938E-03
   12904.869   1334.893  18.750  7.00572E-01  6.95168E-01  7.76785E-03
   12912.022   1342.046  18.800  7.02800E-01  6.94085E-01  1.25459E-02
   12919.194   1349.219  18.850  7.03091E-01  6.93002E-01  1.45470E-02
   12926.385   1356.410  18.900  7.00817E-01  6.91919E-01  1.28499E-02
   12933.596   1363.620  18.950  6.95962E-01  6.90836E-01  7.41334E-03
   12940.825   1370.850  19.000  6.89120E-01  6.89753E-01 -9.16772E-04
   12948.074   1378.098  19.050  6.81374E-01  6.88682E-01 -1.06027E-02
   12955.341   1385.366  19.100  6.74032E-01  6.87612E-01 -1.97317E-02
   12962.628   1392.652  19.150  6.68345E-01  6.86541E-01 -2.64822E-02
   12969.934   1399.958  19.200  6.65239E-01  6.85470E-01 -2.94906E-02
   12977.258   1407.283  19.250  6.65130E-01  6.84400E-01 -2.81327E-02
   12984.602   1414.626  19.300  6.67847E-01  6.83329E-01 -2.26386E-02
   12991.965   1421.989  19.350  6.72684E-01  6.82258E-01 -1.40228E-02
   12999.347   1429.371  19.400  6.78565E-01  6.81187E-01 -3.84763E-03
   13006.747   1436.772  19.450  6.84285E-01  6.80117E-01  6.12355E-03
   13014.167   1444.192  19.500  6.88764E-01  6.79046E-01  1.43010E-02
   13021.606   1451.631  19.550  6.91263E-01  6.77975E-01  1.95859E-02
   13029.064   1459.089  19.600  6.91508E-01  6.76905E-01  2.15584E-02
   13036.542   1466.566  19.650  6.89696E-01  6.75834E-01  2.04969E-02
   13044.038   1474.062  19.700  6.86399E-01  6.74763E-01  1.72334E-02
   13051.553   1481.577  19.750  6.82382E-01  6.73693E-01  1.28902E-02
   13059.087   1489.112  19.800  6.78392E-01  6.72622E-01  8.57324E-03
   13066.640   1496.665  19.850  6.74981E-01  6.71551E-01  5.10438E-03
   13074.213   1504.237  19.900  6.72400E-01  6.70481E-01  2.86104E-03
   13081.804   1511.829  19.950  6.70586E-01  6.69410E-01  1.75642E-03
   13089.415   1519.439  20.000  6.69243E-01  6.68339E-01  1.35142E-03
