 Structure from AMSCIFDB, AMS_ID: 11145         Feff8L (EXAFS)       0.1
 Mineral Name: Copper
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Cu
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.451 Rnm= 1.504 K  shell
 Pot 1 Z=29 Rmt= 1.356 Rnm= 1.393
 Gam_ch=1.729E+00 H-L exch
 Mu=-3.774E+00 kf=1.821E+00 Vint=-1.641E+01 Rs_int= 1.991
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    9      icalc       2
 -----------------------------------------------------------------------
   3  12.000   5.1123    2.6349   -3.77422 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -1.8075   -1.8075   -0.0000  1  29 Cu
     1.8075    1.8075   -0.0000  1  29 Cu
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  6.500  1.6123E+00  4.7531E-01 -1.6517E+01  1.028E+00  9.3787E+00  6.6433E+00
  7.000  1.3871E+00  4.8343E-01 -1.6727E+01  1.010E+00  1.0296E+01  7.1264E+00
  7.500  1.1697E+00  4.6579E-01 -1.6922E+01  9.961E-01  1.1261E+01  7.6127E+00
  8.000  9.5490E-01  4.3256E-01 -1.7110E+01  9.839E-01  1.2272E+01  8.1012E+00
  8.500  7.5252E-01  3.8759E-01 -1.7294E+01  9.736E-01  1.3324E+01  8.5917E+00
  9.000  5.6258E-01  3.3699E-01 -1.7478E+01  9.653E-01  1.4416E+01  9.0836E+00
  9.500  3.8329E-01  2.8599E-01 -1.7668E+01  9.581E-01  1.5546E+01  9.5766E+00
 10.000  2.0953E-01  2.3996E-01 -1.7866E+01  9.504E-01  1.6713E+01  1.0071E+01
 11.000 -1.2702E-01  1.6720E-01 -1.8275E+01  9.357E-01  1.9148E+01  1.1061E+01
 12.000 -4.3664E-01  1.1463E-01 -1.8693E+01  9.269E-01  2.1714E+01  1.2053E+01
 13.000 -7.2501E-01  7.9749E-02 -1.9115E+01  9.225E-01  2.4402E+01  1.3047E+01
 14.000 -9.9065E-01  5.5656E-02 -1.9536E+01  9.202E-01  2.7205E+01  1.4042E+01
 15.000 -1.2366E+00  3.8812E-02 -1.9949E+01  9.199E-01  3.0118E+01  1.5038E+01
 16.000 -1.4662E+00  2.6886E-02 -2.0326E+01  9.203E-01  3.3136E+01  1.6035E+01
 17.000 -1.6790E+00  1.8696E-02 -2.0657E+01  9.215E-01  3.6255E+01  1.7032E+01
 18.000 -1.8787E+00  1.3466E-02 -2.0946E+01  9.230E-01  3.9470E+01  1.8030E+01
 19.000 -2.0650E+00  9.9876E-03 -2.1202E+01  9.246E-01  4.2777E+01  1.9027E+01
 20.000 -2.2401E+00  7.7793E-03 -2.1401E+01  9.264E-01  4.6174E+01  2.0026E+01
