 Structure from AMSCIFDB, AMS_ID: 11639         Feff8L (EXAFS)       0.1
 Mineral Name: Tenorite
 Journal: Crystal Structures 1, pp. 85-237 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Formula:    CuO
 SpaceGroup: C2/
 # sites:    4
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.251 Rnm= 1.384 K  shell
 Pot 1 Z=29 Rmt= 1.220 Rnm= 1.310
 Pot 2 Z= 8 Rmt= 1.010 Rnm= 1.094
 Gam_ch=1.729E+00 H-L exch
 Mu= 1.441E+00 kf=2.152E+00 Vint=-1.621E+01 Rs_int= 1.685
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   10      icalc       2
 -----------------------------------------------------------------------
   3   4.000   3.3897    2.2778    1.44146 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
     2.2947   -1.7050   -0.3832  1  29 Cu
     1.1474   -0.5661   -1.4686  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  6.500  1.5247E+00  1.1292E-02 -1.9718E+01  1.062E+00  8.3539E+00  6.7377E+00
  7.000  1.3033E+00  6.2985E-03 -2.0681E+01  1.039E+00  9.1040E+00  7.2125E+00
  7.500  1.0927E+00  5.4121E-03 -2.1587E+01  1.022E+00  9.9009E+00  7.6917E+00
  8.000  8.9376E-01  5.2314E-03 -2.2018E+01  1.008E+00  1.0740E+01  8.1742E+00
  8.500  7.0536E-01  4.7160E-03 -2.2068E+01  9.982E-01  1.1618E+01  8.6593E+00
  9.000  5.1855E-01  4.8974E-03 -2.1851E+01  9.891E-01  1.2533E+01  9.1466E+00
  9.500  3.4074E-01  6.6237E-03 -2.1739E+01  9.802E-01  1.3483E+01  9.6356E+00
 10.000  1.6837E-01  8.9758E-03 -2.1842E+01  9.701E-01  1.4465E+01  1.0126E+01
 11.000 -1.5748E-01  1.2860E-02 -2.2314E+01  9.529E-01  1.6523E+01  1.1110E+01
 12.000 -4.6158E-01  1.3754E-02 -2.2849E+01  9.428E-01  1.8699E+01  1.2098E+01
 13.000 -7.4747E-01  1.2833E-02 -2.3375E+01  9.362E-01  2.0985E+01  1.3088E+01
 14.000 -1.0085E+00  1.0550E-02 -2.3868E+01  9.326E-01  2.3374E+01  1.4079E+01
 15.000 -1.2520E+00  7.9684E-03 -2.4321E+01  9.312E-01  2.5864E+01  1.5073E+01
 16.000 -1.4798E+00  5.3321E-03 -2.4660E+01  9.305E-01  2.8448E+01  1.6067E+01
 17.000 -1.6904E+00  3.6537E-03 -2.4717E+01  9.308E-01  3.1124E+01  1.7062E+01
 18.000 -1.8886E+00  3.3508E-03 -2.4740E+01  9.316E-01  3.3887E+01  1.8057E+01
 19.000 -2.0741E+00  3.3175E-03 -2.4925E+01  9.325E-01  3.6734E+01  1.9054E+01
 20.000 -2.2476E+00  3.2824E-03 -2.5192E+01  9.337E-01  3.9664E+01  2.0050E+01
