PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      154     0.00000     3.144     8.000     3   5.8760
      155     0.00000     3.276     4.000     3   5.8928
      158     0.00000     5.757     2.000     2   5.8965
      159     0.00000    13.591     4.000     2   5.9156
      160     0.00000     2.950     4.000     3   5.9418
      161     0.00000     2.768     4.000     3   5.9418
      162     0.00000     3.078     8.000     3   5.9568
      163     0.00000     3.200     8.000     3   5.9568
      164     0.00000     3.165     8.000     3   5.9568
      165     0.00000     9.403     4.000     3   5.9673
      166     0.00000     8.161     4.000     3   5.9673
      168     0.00000     5.473     2.000     2   5.9975
      169     0.00000     2.712     4.000     3   6.0043
      170     0.00000     3.709     2.000     4   6.0189
      171     0.00000     2.986     2.000     4   6.0189
      173     0.00000     2.769     4.000     3   6.0364
      174     0.00000     3.043     4.000     3   6.0364
      175     0.00000     5.710     4.000     3   6.0364
      179     0.00000     3.302     4.000     3   6.1073
      182     0.00000     3.466     8.000     4   6.1182
      184     0.00000     2.822     4.000     3   6.1410
      185     0.00000     5.303     4.000     3   6.1410
      186     0.00000    12.220     4.000     2   6.1416
      187     0.00000     4.474     4.000     3   6.1416
      188     0.00000    25.951     8.000     3   6.1416
      189     0.00000     4.401     4.000     4   6.1416
      190     0.00000    16.857     4.000     4   6.1416
      191     0.00000     3.346     4.000     3   6.1501
      192     0.00000     5.008     2.000     2   6.1782
      193     0.00000     5.004     2.000     2   6.1798
      194     0.00000     4.997     2.000     2   6.1828
      195     0.00000    11.946     4.000     2   6.1908
      198     0.00000     5.374     4.000     3   6.2369
      199     0.00000     8.579     4.000     3   6.2369
      200     0.00000     7.446     4.000     3   6.2369
      202     0.00000     2.688     8.000     3   6.2637
      204     0.00000     4.784     2.000     2   6.2727
      205     0.00000     3.431     2.000     4   6.2830
      206     0.00000     5.185     4.000     4   6.2830
      207     0.00000     2.760     2.000     4   6.2830
      208     0.00000     8.764     4.000     3   6.2943
