 Structure from AMSCIFDB, AMS_ID: 1011103       Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal:  Zeitschrift fuer Physikalische Chemie (Frankfurt Am Main) 126, pp. 41
 Authors: Bredig, G, Allolio, R
 Title1:  Roentgenuntersuchungen an katalytisch wirkenden Metallen
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.471 Rnm= 1.507 L3 shell
 Pot 1 Z=78 Rmt= 1.485 Rnm= 1.523
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.725E-01 kf=2.020E+00 Vint=-1.582E+01 Rs_int= 1.795
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2  12.000   2.7888    2.8779   -0.27245 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.9720   -0.0000    1.9720  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  2.800  1.0868E+01  2.0613E-01 -1.6314E+01  1.220E+00  4.5401E+00  3.5075E+00
  3.000  1.0856E+01  2.6719E-01 -1.6395E+01  1.242E+00  4.3109E+00  3.6455E+00
  3.200  1.0833E+01  3.2750E-01 -1.6533E+01  1.247E+00  4.2199E+00  3.7916E+00
  3.400  1.0803E+01  3.7239E-01 -1.6705E+01  1.246E+00  4.2073E+00  3.9435E+00
  3.600  1.0766E+01  4.0050E-01 -1.6887E+01  1.240E+00  4.2453E+00  4.1004E+00
  3.800  1.0721E+01  4.0408E-01 -1.7067E+01  1.229E+00  4.3189E+00  4.2618E+00
  4.000  1.0670E+01  3.9422E-01 -1.7251E+01  1.218E+00  4.4193E+00  4.4274E+00
  4.200  1.0612E+01  3.6769E-01 -1.7432E+01  1.205E+00  4.5406E+00  4.5965E+00
  4.400  1.0548E+01  3.3452E-01 -1.7618E+01  1.191E+00  4.6791E+00  4.7688E+00
  4.600  1.0479E+01  2.9674E-01 -1.7816E+01  1.177E+00  4.8318E+00  4.9440E+00
  4.800  1.0406E+01  2.5984E-01 -1.8037E+01  1.164E+00  4.9968E+00  5.1216E+00
